,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7714,0.8667,0.9708,0.8408,0.7689
"[0.9, 0, 0.1]",0.7037638890212878,0.8102761935355964,0.8269306094919486,0.6908203706952774,0.7841588781258702
"[0.7, 0, 0.1]",0.7022156596182406,0.8074835266306196,0.8247083342164987,0.6923527386712882,0.7745365972865987
"[0.9, 0, 0.3]",0.5017321021630058,0.6474061290094917,0.6538244445594622,0.5827326085606219,0.5900625141054336
"[0.7, 0, 0.3]",0.49783908653365494,0.6466564912952104,0.6508185292794963,0.5830886218985369,0.5883210436666814
"[0.9, 1, 0.1]",0.7204472889146154,0.8232846109846539,0.8392630968302679,0.6983290426854666,0.7969439222945985
"[0.7, 1, 0.1]",0.7186431936719909,0.8211971810801009,0.8386539635617797,0.6988716114136885,0.7898778196471653
"[0.9, 1, 0.3]",0.5201264072037162,0.6692044984030507,0.673352266583355,0.6042301108912094,0.6133717440434299
"[0.7, 1, 0.3]",0.5171532710253479,0.6708028278223359,0.6743029188114491,0.6078355080981563,0.6089108625294813
"[0.9, 3, 0.1]",0.7599438584786871,0.8464834016106685,0.8640792303510683,0.6979510869348438,0.8232807923790806
"[0.7, 3, 0.1]",0.7607989749939417,0.8451146918167025,0.8642408623861506,0.7001415152341279,0.8167738526965489
"[0.9, 3, 0.3]",0.5797586225059602,0.7197294774752837,0.7249163559814522,0.604076248920321,0.6676361884930253
"[0.7, 3, 0.3]",0.5784433319852514,0.7208051544190868,0.7246648604999937,0.6068755706721807,0.6639275595263201
