Id,target
0,1
1,2
2,1
3,1
4,2
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,1
13,2
14,1
15,2
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,2
55,1
56,2
57,1
58,1
59,2
60,1
61,1
62,2
63,2
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,1
72,1
73,1
74,2
75,1
76,2
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,2
90,1
91,1
92,2
93,1
94,1
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,2
117,1
118,2
119,1
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,2
128,1
129,2
130,1
131,2
132,1
133,1
134,1
135,1
136,1
137,2
138,1
139,1
140,1
141,1
142,1
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,1
168,1
169,2
170,2
171,1
172,2
173,1
174,2
175,2
176,1
177,1
178,1
179,1
180,2
181,2
182,2
183,1
184,2
185,1
186,2
187,1
188,2
189,1
190,2
191,2
192,2
193,1
194,2
195,2
196,1
197,2
198,1
199,2
200,1
201,1
202,1
203,2
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,2
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,2
228,2
229,1
230,2
231,1
232,1
233,1
234,1
235,2
236,2
237,2
238,1
239,1
240,2
241,1
242,2
243,1
244,1
245,1
246,1
247,1
248,1
249,2
250,1
251,1
252,2
253,1
254,1
255,1
256,1
257,2
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,2
266,1
267,1
268,2
269,1
270,1
271,1
272,1
273,2
274,2
275,1
276,1
277,1
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,2
290,1
291,2
292,1
293,1
294,1
295,2
296,1
297,1
298,1
299,1
300,1
301,2
302,2
303,1
304,2
305,1
306,1
307,2
308,2
309,1
310,1
311,1
312,1
313,2
314,1
315,2
316,1
317,1
318,1
319,1
320,2
321,2
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,2
332,2
333,2
334,2
335,2
336,1
337,2
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,2
350,1
351,2
352,1
353,2
354,1
355,2
356,1
357,2
358,1
359,2
360,1
361,1
362,1
363,1
364,2
365,1
366,1
367,1
368,2
369,1
370,1
371,1
372,1
373,1
374,2
375,2
376,1
377,1
378,2
379,1
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,2
399,1
400,1
401,1
402,2
403,1
404,1
405,2
406,1
407,1
408,1
409,2
410,1
411,1
412,2
413,1
414,2
415,1
416,2
417,1
418,1
419,2
420,1
421,1
422,1
423,1
424,2
425,1
426,1
427,1
428,1
429,2
430,1
431,2
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,2
440,1
441,1
442,1
443,2
444,2
445,1
446,2
447,1
448,1
449,2
450,1
451,1
452,1
453,1
454,2
455,1
456,1
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,2
467,1
468,1
469,1
470,2
471,2
472,2
473,1
474,2
475,2
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,2
486,1
487,1
488,1
489,1
490,1
491,2
492,1
493,1
494,1
495,2
496,2
497,1
498,1
499,1
500,2
501,1
502,1
503,2
504,2
505,2
506,1
507,2
508,1
509,1
510,2
511,1
512,1
513,1
514,1
515,1
516,1
517,2
518,1
519,1
520,1
521,2
522,2
523,1
524,1
525,1
526,1
527,1
528,2
529,1
530,1
531,2
532,1
533,1
534,1
535,2
536,1
537,1
538,2
539,1
540,2
541,1
542,2
543,2
544,1
545,2
546,1
547,1
548,2
549,1
550,1
551,1
552,2
553,1
554,1
555,2
556,2
557,2
558,2
559,2
560,1
561,2
562,1
563,2
564,1
565,1
566,2
567,1
568,1
569,2
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,2
579,1
580,2
581,1
582,1
583,2
584,1
585,2
586,1
587,1
588,2
589,2
590,1
591,1
592,1
593,2
594,2
595,2
596,2
597,2
598,2
599,1
600,1
601,2
602,2
603,2
604,1
605,1
606,1
607,2
608,1
609,1
610,2
611,2
612,1
613,1
614,2
615,1
616,1
617,1
618,2
619,1
620,1
621,2
622,2
623,1
624,2
625,1
626,1
627,2
628,1
629,1
630,1
631,2
632,1
633,2
634,2
635,1
636,1
637,1
638,1
639,2
640,2
641,1
642,2
643,1
644,1
645,2
646,1
647,2
648,2
649,2
650,1
651,2
652,2
653,2
654,1
655,1
656,2
657,1
658,1
659,1
660,1
661,2
662,1
663,1
664,1
665,1
666,1
667,1
668,2
669,1
670,1
671,1
672,1
673,1
674,2
675,1
676,1
677,2
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,2
701,2
702,1
703,1
704,1
705,1
706,2
707,2
708,1
709,1
710,1
711,2
712,1
713,1
714,2
715,1
716,1
717,1
718,1
719,1
720,2
721,2
722,2
723,1
724,2
725,1
726,1
727,2
728,2
729,1
730,1
731,2
732,1
733,1
734,1
735,1
736,2
737,1
738,1
739,2
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,1
750,1
751,2
752,1
753,1
754,2
755,2
756,1
757,2
758,1
759,2
760,1
761,2
762,1
763,2
764,1
765,1
766,2
767,1
768,1
769,1
770,1
771,2
772,1
773,1
774,1
775,2
776,1
777,1
778,1
779,1
780,2
781,1
782,1
783,2
784,1
785,1
786,1
787,1
788,2
789,2
790,2
791,1
792,1
793,1
794,1
795,1
796,2
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,2
806,1
807,1
808,1
809,2
810,1
811,1
812,2
813,2
814,2
815,1
816,1
817,1
818,1
819,2
820,1
821,1
822,2
823,1
824,1
825,1
826,2
827,2
828,2
829,1
830,1
831,2
832,2
833,1
834,2
835,2
836,1
837,1
838,1
839,1
840,2
841,1
842,2
843,1
844,1
845,1
846,2
847,1
848,1
849,2
850,2
851,1
852,1
853,2
854,1
855,1
856,1
857,1
858,2
859,1
860,1
861,2
862,2
863,1
864,2
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,2
879,1
880,1
881,1
882,1
883,1
884,2
885,2
886,1
887,2
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,2
900,2
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,2
912,1
913,1
914,2
915,2
916,1
917,2
918,2
919,2
920,1
921,1
922,2
923,1
924,2
925,2
926,1
927,2
928,1
929,1
930,1
931,2
932,1
933,1
934,1
935,2
936,2
937,1
938,2
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,2
947,1
948,2
949,2
950,1
951,2
952,2
953,2
954,1
955,1
956,1
957,1
958,2
959,1
960,1
961,1
962,1
963,2
