Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
1,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
2,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
3,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
4,x,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
5,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
6,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
7,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
8,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
9,b,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
10,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
11,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
12,b,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
13,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
14,x,f,n,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
15,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
16,f,f,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
17,x,s,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
18,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
19,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
20,b,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
21,x,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
22,b,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
23,b,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
24,b,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
25,f,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
26,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
27,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
28,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
29,x,s,y,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
30,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
31,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
32,x,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
33,x,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
34,b,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
35,x,f,y,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
36,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
37,x,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
38,x,f,y,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
39,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
40,b,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
41,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
42,x,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
43,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
44,x,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
45,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
46,x,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
47,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
48,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
49,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p
50,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
51,x,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
52,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
53,x,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
