Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
0,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
2,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
3,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
4,x,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
5,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
6,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
7,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
8,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
9,b,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
10,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
11,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
12,b,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
13,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
14,x,f,n,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
15,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
16,f,f,w,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
17,x,s,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
18,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
19,x,s,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
20,b,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
21,x,y,n,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
22,b,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
23,b,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
24,b,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
25,f,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
26,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
27,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
28,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
29,x,s,y,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
30,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
31,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
32,x,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
33,x,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
34,b,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
35,x,f,y,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
36,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
37,x,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
38,x,f,y,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
39,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
40,b,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
41,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
42,x,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
43,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
44,x,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
45,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
46,x,y,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
47,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
48,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e
49,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
50,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
51,x,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
52,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
53,x,y,n,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
54,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
55,b,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
56,f,f,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
57,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
