classifier,gamma,accuracy_mean,accuracy_std,f1_mean,f1_std
GradientBoostingClassifier(),0.0,0.8613728955049444,0.0039831910617008645,0.6830345172253749,0.00966442093509728
LinearSVC(),0.0,0.8198886950896117,0.002487745980417751,0.5379679444636164,0.009158287102868444
MLPClassifier(),0.0,0.84985184573847,0.004309482492903675,0.6676494582427916,0.017075288653003964
RandomForestClassifier(),0.0,0.8476405473112363,0.005261465871680549,0.6721433128784982,0.01127238212174916
LogisticRegression(),0.0,0.8207731861028155,0.003124429258788357,0.5594295348768151,0.009565554181686869
GradientBoostingClassifier(),1.0,0.8609307111140534,0.005213247937845977,0.6843082172128419,0.013135381363743887
LinearSVC(),1.0,0.8198223234276665,0.002391069675127633,0.5364591141521864,0.008823594790111652
MLPClassifier(),1.0,0.8490115633858417,0.0037150232561896216,0.6653488758493346,0.009163986153949928
RandomForestClassifier(),1.0,0.8482595956799699,0.004110916762367099,0.671482201647087,0.009521826006929777
LogisticRegression(),1.0,0.8205962976786884,0.0032065293722884354,0.5589416145268301,0.009777957567217627
GradientBoostingClassifier(),1.5,0.8614171383903179,0.003925133443367339,0.6853654818923663,0.01019711797603139
LinearSVC(),1.5,0.8197559957690327,0.0023955749260758737,0.5365799833139893,0.008793677262787307
MLPClassifier(),1.5,0.8495865497717059,0.003665525211466134,0.6695601585551583,0.012586548683401144
RandomForestClassifier(),1.5,0.847507784430318,0.003683373989105858,0.6704275341810246,0.00834953949755753
LogisticRegression(),1.5,0.8206626302265789,0.0032911646341643713,0.5589879551605543,0.009916352987109895
GradientBoostingClassifier(),2.0,0.8609749588886837,0.004614081531652356,0.6832760311720069,0.011179086503500224
LinearSVC(),2.0,0.8197560055475464,0.0025739425575017983,0.5367393624547374,0.009099347901239022
MLPClassifier(),2.0,0.8505151516603476,0.004167197499591042,0.6715122604297695,0.011608899501117223
RandomForestClassifier(),2.0,0.8482375353529941,0.0037287192552119246,0.6725995117505473,0.008885687774914003
LogisticRegression(),2.0,0.8206405063392637,0.0032550906899535045,0.5589134547367477,0.009714779982896167
