classifier,gamma,accuracy_mean,accuracy_std,f1_mean,f1_std
GradientBoostingClassifier(),0.0,0.777,0.027221315177632405,0.8487137333284425,0.0191720884385654
LinearSVC(),0.0,0.76,0.044045431091090485,0.837693116114296,0.02906169408846701
MLPClassifier(),0.0,0.742,0.03600000000000003,0.8191946519211042,0.027633926217006412
RandomForestClassifier(),0.0,0.7689999999999999,0.027000000000000024,0.8474463233110843,0.016547430796569194
LogisticRegression(),0.0,0.76,0.04427188724235731,0.8377852283069274,0.028549590760760378
GradientBoostingClassifier(),1.0,0.781,0.028089143810376287,0.8522483215448966,0.019341862914895196
LinearSVC(),1.0,0.762,0.0428485705712571,0.8400206348190327,0.028836592005168204
MLPClassifier(),1.0,0.75,0.0340587727318528,0.8252453023050486,0.023045686955908366
RandomForestClassifier(),1.0,0.772,0.026000000000000023,0.8489173581748182,0.017620516427459057
LogisticRegression(),1.0,0.76,0.04381780460041329,0.8380311761430408,0.02941975106651174
GradientBoostingClassifier(),1.5,0.768,0.030594117081556717,0.8421812188443927,0.020519092823408882
LinearSVC(),1.5,0.76,0.0433589667773576,0.8380324652535129,0.02908581100419711
MLPClassifier(),1.5,0.752,0.02856571371417143,0.8271203466745195,0.02101859565519488
RandomForestClassifier(),1.5,0.7689999999999999,0.0301496268633627,0.8477502304147052,0.019289850484797123
LogisticRegression(),1.5,0.758,0.042379240200834195,0.8362831457164894,0.028215259375283182
GradientBoostingClassifier(),2.0,0.7649999999999999,0.025396850198400614,0.840897422861989,0.016818450863109312
LinearSVC(),2.0,0.7620000000000001,0.04512205669071392,0.8395849483169808,0.029118010696814602
MLPClassifier(),2.0,0.7509999999999999,0.029137604568666955,0.8273622771109416,0.02077559120315715
RandomForestClassifier(),2.0,0.767,0.030016662039607296,0.8456956156389056,0.02048494690865033
LogisticRegression(),2.0,0.7590000000000001,0.04276680956068621,0.8369786170390976,0.027540227457952243
