attribute,fp_len,gamma,xi,p-value
checking_account,32,1.11,1,0.0
credit_hist,32,1.11,1,0.0
purpose,32,1.11,1,0.0
savings,32,1.11,1,0.0
employment_since,32,1.11,1,0.0
sex_status,32,1.11,1,0.0
debtors,32,1.11,1,6.666370695325574e-282
property,32,1.11,1,0.0
installment_other,32,1.11,1,0.0
housing,32,1.11,1,0.0
job,32,1.11,1,0.0
tel,32,1.11,1,3.29176288802926e-193
foreign,32,1.11,1,8.69901285443134e-126
checking_account,32,1.11,2,0.0
credit_hist,32,1.11,2,0.0
purpose,32,1.11,2,0.0
savings,32,1.11,2,0.0
employment_since,32,1.11,2,0.0
sex_status,32,1.11,2,0.0
debtors,32,1.11,2,6.666370695325574e-282
property,32,1.11,2,0.0
installment_other,32,1.11,2,0.0
housing,32,1.11,2,0.0
job,32,1.11,2,0.0
tel,32,1.11,2,3.29176288802926e-193
foreign,32,1.11,2,8.69901285443134e-126
checking_account,32,1.11,4,0.0
credit_hist,32,1.11,4,0.0
purpose,32,1.11,4,0.0
savings,32,1.11,4,0.0
employment_since,32,1.11,4,0.0
sex_status,32,1.11,4,0.0
debtors,32,1.11,4,6.666370695325574e-282
property,32,1.11,4,0.0
installment_other,32,1.11,4,0.0
housing,32,1.11,4,0.0
job,32,1.11,4,0.0
tel,32,1.11,4,3.29176288802926e-193
foreign,32,1.11,4,8.69901285443134e-126
checking_account,32,1.25,1,0.0
credit_hist,32,1.25,1,0.0
purpose,32,1.25,1,0.0
savings,32,1.25,1,0.0
employment_since,32,1.25,1,0.0
sex_status,32,1.25,1,0.0
debtors,32,1.25,1,1.4739793164370259e-291
property,32,1.25,1,0.0
installment_other,32,1.25,1,0.0
housing,32,1.25,1,0.0
job,32,1.25,1,0.0
tel,32,1.25,1,1.299708850420219e-196
foreign,32,1.25,1,8.997988967631786e-131
checking_account,32,1.25,2,0.0
credit_hist,32,1.25,2,0.0
purpose,32,1.25,2,0.0
savings,32,1.25,2,0.0
employment_since,32,1.25,2,0.0
sex_status,32,1.25,2,0.0
debtors,32,1.25,2,1.4739793164370259e-291
property,32,1.25,2,0.0
installment_other,32,1.25,2,0.0
housing,32,1.25,2,0.0
job,32,1.25,2,0.0
tel,32,1.25,2,1.299708850420219e-196
foreign,32,1.25,2,8.997988967631786e-131
checking_account,32,1.25,4,0.0
credit_hist,32,1.25,4,0.0
purpose,32,1.25,4,0.0
savings,32,1.25,4,0.0
employment_since,32,1.25,4,0.0
sex_status,32,1.25,4,0.0
debtors,32,1.25,4,1.4739793164370259e-291
property,32,1.25,4,0.0
installment_other,32,1.25,4,0.0
housing,32,1.25,4,0.0
job,32,1.25,4,0.0
tel,32,1.25,4,1.299708850420219e-196
foreign,32,1.25,4,8.997988967631786e-131
checking_account,32,1.43,1,0.0
credit_hist,32,1.43,1,0.0
purpose,32,1.43,1,0.0
savings,32,1.43,1,0.0
employment_since,32,1.43,1,0.0
sex_status,32,1.43,1,0.0
debtors,32,1.43,1,1.1218766248836774e-303
property,32,1.43,1,0.0
installment_other,32,1.43,1,0.0
housing,32,1.43,1,0.0
job,32,1.43,1,0.0
tel,32,1.43,1,1.299708850420219e-196
foreign,32,1.43,1,3.785906403734091e-136
checking_account,32,1.43,2,0.0
credit_hist,32,1.43,2,0.0
purpose,32,1.43,2,0.0
savings,32,1.43,2,0.0
employment_since,32,1.43,2,0.0
sex_status,32,1.43,2,0.0
debtors,32,1.43,2,1.1218766248836774e-303
property,32,1.43,2,0.0
installment_other,32,1.43,2,0.0
housing,32,1.43,2,0.0
job,32,1.43,2,0.0
tel,32,1.43,2,1.299708850420219e-196
foreign,32,1.43,2,3.785906403734091e-136
checking_account,32,1.43,4,0.0
credit_hist,32,1.43,4,0.0
purpose,32,1.43,4,0.0
savings,32,1.43,4,0.0
employment_since,32,1.43,4,0.0
sex_status,32,1.43,4,0.0
debtors,32,1.43,4,1.1218766248836774e-303
property,32,1.43,4,0.0
installment_other,32,1.43,4,0.0
housing,32,1.43,4,0.0
job,32,1.43,4,0.0
tel,32,1.43,4,1.299708850420219e-196
foreign,32,1.43,4,3.785906403734091e-136
checking_account,32,1.67,1,0.0
credit_hist,32,1.67,1,0.0
purpose,32,1.67,1,0.0
savings,32,1.67,1,0.0
employment_since,32,1.67,1,0.0
sex_status,32,1.67,1,0.0
debtors,32,1.67,1,0.0
property,32,1.67,1,0.0
installment_other,32,1.67,1,0.0
housing,32,1.67,1,0.0
job,32,1.67,1,0.0
tel,32,1.67,1,3.2793799364648922e-199
foreign,32,1.67,1,5.3584905104365604e-139
checking_account,32,1.67,2,0.0
credit_hist,32,1.67,2,0.0
purpose,32,1.67,2,0.0
savings,32,1.67,2,0.0
employment_since,32,1.67,2,0.0
sex_status,32,1.67,2,0.0
debtors,32,1.67,2,0.0
property,32,1.67,2,0.0
installment_other,32,1.67,2,0.0
housing,32,1.67,2,0.0
job,32,1.67,2,0.0
tel,32,1.67,2,3.2793799364648922e-199
foreign,32,1.67,2,5.3584905104365604e-139
checking_account,32,1.67,4,0.0
credit_hist,32,1.67,4,0.0
purpose,32,1.67,4,0.0
savings,32,1.67,4,0.0
employment_since,32,1.67,4,0.0
sex_status,32,1.67,4,0.0
debtors,32,1.67,4,0.0
property,32,1.67,4,0.0
installment_other,32,1.67,4,0.0
housing,32,1.67,4,0.0
job,32,1.67,4,0.0
tel,32,1.67,4,3.2793799364648922e-199
foreign,32,1.67,4,5.3584905104365604e-139
checking_account,32,10.0,1,0.0
credit_hist,32,10.0,1,0.0
purpose,32,10.0,1,0.0
savings,32,10.0,1,0.0
employment_since,32,10.0,1,0.0
sex_status,32,10.0,1,0.0
debtors,32,10.0,1,0.0
property,32,10.0,1,0.0
installment_other,32,10.0,1,0.0
housing,32,10.0,1,0.0
job,32,10.0,1,0.0
tel,32,10.0,1,1.1370499116882819e-217
foreign,32,10.0,1,1.2377656133906242e-207
