,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.689,0.700,0.774,0.764,0.693
"[0.9, 0, 0.1]",0.6832196979050912,0.7028969557284164,0.7446392284369813,0.7473321672085718,0.7013291352841915
"[0.7, 0, 0.1]",0.6778583092759456,0.6984503542997114,0.7412111218032834,0.742217420464818,0.6918435540780917
"[0.9, 0, 0.3]",0.658441179295112,0.7028969557284164,0.7204457614794694,0.7244548298143803,0.7011069405001988
"[0.7, 0, 0.3]",0.6611158837080454,0.6984503542997114,0.7258859825620388,0.7225553611524218,0.6921455399061033
"[0.9, 1, 0.1]",0.6752960722174206,0.7027858446173052,0.7458812610610364,0.7473546665569137,0.7024439368371952
"[0.7, 1, 0.1]",0.6866448254745866,0.6984503542997114,0.7395229930306476,0.7386344443472429,0.6914148076866999
"[0.9, 1, 0.3]",0.6677597234226448,0.7028969557284164,0.7193435266356615,0.7243165274176511,0.7015587658284288
"[0.7, 1, 0.3]",0.668453299507188,0.6984503542997114,0.723165077421048,0.724418773510629,0.6908270492520339
"[0.9, 3, 0.1]",0.6812814202027685,0.7027858446173052,0.7439789137204869,0.7481138000576204,0.7026699318159991
"[0.7, 3, 0.1]",0.6727140232700551,0.6983095092292888,0.7419959758551308,0.7422845187064415,0.6914167614381945
"[0.9, 3, 0.3]",0.6601052118917288,0.7024525112839719,0.7235411093276262,0.7244413164862603,0.7025563238259867
"[0.7, 3, 0.3]",0.6635635552445105,0.6984503542997114,0.7231590995246843,0.7244181903012277,0.6902759746887119
