,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7740,0.869452,0.9774,0.8429,0.7709
"[0.9, 0, 0.1]",0.7103981991808594,0.8153993270383837,0.8325583895467231,0.6925319023661827,0.7912445258072618
"[0.7, 0, 0.1]",0.70449199616982,0.8110675016073534,0.8288017128526388,0.693605318085876,0.7803973013617734
"[0.9, 0, 0.3]",0.5041548566178433,0.6515216553291994,0.6570826472545439,0.5849074507480851,0.5967463986912664
"[0.7, 0, 0.3]",0.49907385943584925,0.646243877155116,0.6517287671495344,0.583595679318188,0.5843099316773881
"[0.9, 1, 0.1]",0.7288155249032744,0.8298536860671712,0.8453495190023026,0.7022059277496142,0.8062333397282082
"[0.7, 1, 0.1]",0.7252228132139248,0.8243498939184009,0.843254292278625,0.7016950732153328,0.7944072784356531
"[0.9, 1, 0.3]",0.5218519579581011,0.6714545002416867,0.6752264288048958,0.6053555675085843,0.6170251512805786
"[0.7, 1, 0.3]",0.517551954436031,0.6705936100910315,0.6751132595473437,0.607710599343635,0.6127515126777094
"[0.9, 3, 0.1]",0.7676617764975076,0.8521315515966426,0.8692455269356442,0.7015929030535473,0.8289401477873842
"[0.7, 3, 0.1]",0.7694147811805967,0.8498402687328068,0.8696824628831898,0.7029076008289079,0.8197208219907834
"[0.9, 3, 0.3]",0.5804218163827912,0.7239193006801459,0.7284100584175032,0.6068392143133186,0.6719516220611403
"[0.7, 3, 0.3]",0.580893379396071,0.7221664604799742,0.725542153145857,0.6079741348687459,0.6651501082783041
