,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7759,0.87272,0.9813,0.8442,0.7712
"[0.9, 0, 0.1]",0.7191199533794354,0.8194831347905642,0.8370903642744246,0.6964448887443456,0.7950599559688355
"[0.7, 0, 0.1]",0.7157175899985357,0.8181208122523561,0.837452591147226,0.6967457723505219,0.7888264305370192
"[0.9, 0, 0.3]",0.5068141251349525,0.6536398184037469,0.659330950068861,0.5870900050593888,0.5991792197668666
"[0.7, 0, 0.3]",0.5008013896895217,0.6492744654315916,0.6555168311135897,0.5843564179332001,0.5906609748905645
"[0.9, 1, 0.1]",0.732115021536277,0.8323073963478405,0.8497329653104038,0.7036307842184142,0.8090620849385892
"[0.7, 1, 0.1]",0.7292496727400389,0.8291435132950862,0.8479110906829184,0.702986404128305,0.7998775767529804
"[0.9, 1, 0.3]",0.5233329949693224,0.6731047802555312,0.6780025629171645,0.606919348666547,0.6184842456251602
"[0.7, 1, 0.3]",0.5233155815883574,0.6750869448465168,0.6797843019184661,0.6093367751713501,0.619942346739786
"[0.9, 3, 0.1]",0.7741340397426284,0.8556891324889329,0.874915209652658,0.7039603625907507,0.8334944961910982
"[0.7, 3, 0.1]",0.7740751239010879,0.8521151642116538,0.8726177521233809,0.7043802383102088,0.8235548592678841
"[0.9, 3, 0.3]",0.5870981848456265,0.7267794977955517,0.7304661306511468,0.6099131335657657,0.6760026124159173
"[0.7, 3, 0.3]",0.5785958437591168,0.7231602871315486,0.7269087388419974,0.6062898124559317,0.663680403191254
