,3,7,10,20
"baseline",1.0,1.0,1.0,1.0
"[0.9, 0, 0.1]",1.0,1.0,0.9933333333333333,0.76
"[0.7, 0, 0.1]",1.0,0.9933333333333333,0.9933333333333333,0.6066666666666667
"[0.9, 1, 0.1]",1.0,0.9866666666666667,0.98,0.7866666666666666
"[0.7, 1, 0.1]",1.0,0.98,0.9333333333333333,0.5866666666666667
"[0.9, 3, 0.1]",1.0,0.98,0.8866666666666667,0.62
"[0.7, 3, 0.1]",1.0,0.94,0.7533333333333333,0.46
"[0.9, 0, 0.3]",1.0,0.8933333333333333,0.8066666666666666,0.3
"[0.7, 0, 0.3]",0.98,0.84,0.6,0.21333333333333335
"[0.9, 1, 0.3]",0.9933333333333333,0.7933333333333333,0.6933333333333334,0.23333333333333334
"[0.7, 1, 0.3]",0.98,0.72,0.4533333333333333,0.22
"[0.9, 3, 0.3]",0.98,0.64,0.5666666666666667,0.21333333333333335
"[0.7, 3, 0.3]",0.9666666666666667,0.5466666666666666,0.4066666666666667,0.17333333333333334
