,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7321714285714285,0.6904728243021346,0.7031206896551722,0.7210467980295566,0.672199671592775
"[0.9, 0, 0.1]",0.7149961538461539,0.6783055555555555,0.6781217948717948,0.712524074074074,0.692695868945869
"[0.7, 0, 0.1]",0.6961616541353384,0.6892067669172932,0.6960488721804511,0.7049899749373434,0.6982669172932331
"[0.9, 0, 0.3]",0.6842545584045584,0.6551356125356125,0.677532621082621,0.6883109686609686,0.6856078347578347
"[0.7, 0, 0.3]",0.6841278195488721,0.6547807017543861,0.6676766917293233,0.694548872180451,0.6867681704260651
"[0.9, 1, 0.1]",0.7027290598290599,0.6818733618233617,0.6880809116809117,0.7022777777777778,0.6915121082621083
"[0.7, 1, 0.1]",0.7042030075187969,0.6866353383458647,0.6829423558897243,0.7052907268170425,0.6927543859649121
"[0.9, 1, 0.3]",0.6883488603988603,0.6498638176638177,0.6747914529914529,0.6885786324786325,0.6916662393162393
"[0.7, 1, 0.3]",0.6773771929824561,0.6420701754385966,0.6738032581453633,0.676218045112782,0.6877468671679197
"[0.9, 3, 0.1]",0.734261396011396,0.6904874643874643,0.6984391737891738,0.7104806267806267,0.6968578347578347
"[0.7, 3, 0.1]",0.7195939849624059,0.7090839598997494,0.7118859649122806,0.7137857142857142,0.7045238095238096
"[0.9, 3, 0.3]",0.7209303418803419,0.6703111111111111,0.6980074074074074,0.7051102564102563,0.6943198005698005
"[0.7, 3, 0.3]",0.7276992481203008,0.6775513784461153,0.6966140350877192,0.7182017543859648,0.7028671679197995
