,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.7485714285714286,0.6942472085385878,0.6791346469622331,0.7207027914614121,0.7099
"[0.9, 0, 0.1]",0.7015894586894585,0.6786491452991453,0.6920384615384615,0.7130849002849002,0.691871225071225
"[0.7, 0, 0.1]",0.6916102756892231,0.6830827067669173,0.7022606516290727,0.7192681704260651,0.7053082706766917
"[0.9, 0, 0.3]",0.6975888888888889,0.6582961538461538,0.6900680911680912,0.6946890313390314,0.6941505698005697
"[0.7, 0, 0.3]",0.6842117794486215,0.6416516290726817,0.6797092731829575,0.6953696741854636,0.6894122807017544
"[0.9, 1, 0.1]",0.7285645299145299,0.6990723646723647,0.6917367521367521,0.723974074074074,0.6970135327635327
"[0.7, 1, 0.1]",0.6971641604010026,0.6852180451127821,0.6874110275689223,0.6998458646616541,0.6997644110275689
"[0.9, 1, 0.3]",0.7028723646723647,0.6529626780626779,0.6767002849002848,0.6932669515669516,0.6873532763532764
"[0.7, 1, 0.3]",0.683953634085213,0.6270651629072682,0.6612368421052631,0.6816190476190476,0.6756516290726817
"[0.9, 3, 0.1]",0.7378528490028489,0.7020307692307692,0.710272792022792,0.7284021367521367,0.7037112535612534
"[0.7, 3, 0.1]",0.7250488721804512,0.709110275689223,0.7032167919799498,0.7138082706766917,0.6952431077694236
"[0.9, 3, 0.3]",0.7299343304843304,0.671558262108262,0.7008039886039885,0.7206722222222222,0.7010451566951567
"[0.7, 3, 0.3]",0.726593984962406,0.6768358395989974,0.7030914786967417,0.7083082706766918,0.6920263157894737
