,decision_tree,svm,gradient_boosting,logistic_regression,knn
"baseline",0.694,0.700,0.765,0.765,0.693
"[0.9, 0, 0.1]",0.6830670041568917,0.6976831982000522,0.7426999903966197,0.7433025476396263,0.6943286688342868
"[0.7, 0, 0.1]",0.6841393287259789,0.695584754906249,0.7371608783133583,0.7407187472662059,0.6887467996384102
"[0.9, 0, 0.3]",0.6511898176729638,0.6976819771988312,0.7216187732367507,0.7222060473858226,0.693211342964152
"[0.7, 0, 0.3]",0.651556323447934,0.6957276120491062,0.7127156562563789,0.719475607266789,0.6866037675327327
"[0.9, 1, 0.1]",0.6854527170706946,0.6979029784198324,0.7457311190681978,0.743955783292862,0.6925704545142747
"[0.7, 1, 0.1]",0.6832652727961974,0.6958704691919634,0.7471330009039745,0.7432553290759046,0.686744554282215
"[0.9, 1, 0.3]",0.6542172833408788,0.6977918673087212,0.7226380897504494,0.726954740640134,0.6925532507442621
"[0.7, 1, 0.3]",0.6567739188755722,0.6957296241215408,0.7165580147551978,0.7215863878925729,0.6867548479281487
"[0.9, 3, 0.1]",0.6868108820018932,0.6977918673087212,0.7444979627114459,0.7448758282915586,0.6951040594860819
"[0.7, 3, 0.1]",0.6805566733735748,0.6954418977633918,0.7349788003382614,0.7431367334441432,0.6885935905286794
"[0.9, 3, 0.3]",0.6591620364654072,0.6979029784198324,0.7225235351415127,0.7268918796559245,0.6942175028467164
"[0.7, 3, 0.3]",0.656823170909515,0.695584754906249,0.7152239232496428,0.7226084623684135,0.684893447642376
